danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre,Song Title,Artist
0.437,0.129,0.18181818181818182,0.4746135680549592,1,0.0354,0.967,0.875,0.104,0.342,0.3791770528521368,audio_features,0Ied2vKKS5EKGy4IB8C9zg,spotify:track:0Ied2vKKS5EKGy4IB8C9zg,https://api.spotify.com/v1/tracks/0Ied2vKKS5EKGy4IB8C9zg,https://api.spotify.com/v1/audio-analysis/0Ied2vKKS5EKGy4IB8C9zg,246333,4,classical,"Le nozze di Figaro, K. 492: Overture",Wolfgang Amadeus Mozart
0.545,0.783,0.45454545454545453,0.40658396946564884,0,0.0345,0.00489,0.0,0.132,0.551,0.8616057729427953,audio_features,1oew3nFNY3vMacJAsvry0S,spotify:track:1oew3nFNY3vMacJAsvry0S,https://api.spotify.com/v1/tracks/1oew3nFNY3vMacJAsvry0S,https://api.spotify.com/v1/audio-analysis/1oew3nFNY3vMacJAsvry0S,193733,4,pop,Me And My Broken Heart,Rixton
0.796,0.5,0.09090909090909091,0.5593483320403413,1,0.425,0.118,0.0,0.155,0.227,0.3713189614632577,audio_features,1nX9KhK3Fff27SnrIor2Yb,spotify:track:1nX9KhK3Fff27SnrIor2Yb,https://api.spotify.com/v1/tracks/1nX9KhK3Fff27SnrIor2Yb,https://api.spotify.com/v1/audio-analysis/1nX9KhK3Fff27SnrIor2Yb,255560,4,rap,4 AM,2 Chainz
0.655,0.818,0.18181818181818182,0.3459923664122137,1,0.033,0.0842,0.0,0.106,0.474,0.5739831523514448,audio_features,2kYqdSlrtovVMMIn6ykzba,spotify:track:2kYqdSlrtovVMMIn6ykzba,https://api.spotify.com/v1/tracks/2kYqdSlrtovVMMIn6ykzba,https://api.spotify.com/v1/audio-analysis/2kYqdSlrtovVMMIn6ykzba,240413,4,pop,I Wanna Know,Alesso
0.343,0.0342,0.7272727272727273,0.6867486045513096,1,0.0406,0.991,0.92,0.1,0.0378,0.31082692099273873,audio_features,6GzMz3s0K1YKwRVI36CgRx,spotify:track:6GzMz3s0K1YKwRVI36CgRx,https://api.spotify.com/v1/tracks/6GzMz3s0K1YKwRVI36CgRx,https://api.spotify.com/v1/audio-analysis/6GzMz3s0K1YKwRVI36CgRx,270000,3,classical,"Liebestraume, S541/R211 : No. 3: Nocturne in A-Flat Major",Franz Liszt
0.613,0.622,0.09090909090909091,0.5528625954198473,0,0.0334,0.00882,0.0,0.37,0.484,0.39596428536075945,audio_features,2y4lAQpi5VTNLu2ldeTdUH,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH,https://api.spotify.com/v1/audio-analysis/2y4lAQpi5VTNLu2ldeTdUH,231240,4,pop,We Can't Stop,Miley Cyrus
0.596,0.417,0.36363636363636365,0.3569128381279519,0,0.0527,0.969,0.00222,0.406,0.71,0.6930746721577977,audio_features,3EdrsQZHNXR03tHZmU1R9R,spotify:track:3EdrsQZHNXR03tHZmU1R9R,https://api.spotify.com/v1/tracks/3EdrsQZHNXR03tHZmU1R9R,https://api.spotify.com/v1/audio-analysis/3EdrsQZHNXR03tHZmU1R9R,130147,4,classical,"Vivaldi: Bajazet, RV 703, Act 2 Scene 8: No. 16, Aria, ""Dov'è la figlia?"" (Bajazet)",Antonio Vivaldi
0.346,0.0659,0.09090909090909091,0.7097466723915843,1,0.0428,0.992,0.901,0.0845,0.105,0.3455387140225116,audio_features,2JMQZegcDqhLXowZD5QbeR,spotify:track:2JMQZegcDqhLXowZD5QbeR,https://api.spotify.com/v1/tracks/2JMQZegcDqhLXowZD5QbeR,https://api.spotify.com/v1/audio-analysis/2JMQZegcDqhLXowZD5QbeR,118413,4,classical,"Bagatelle, Op. 30",Anatoly Lyadov
0.592,0.562,0.9090909090909091,0.40129695624233214,0,0.0239,0.00373,3.23e-05,0.223,0.208,0.4397920060876267,audio_features,1AM1o0mKbgAK5oMpY8B3Z7,spotify:track:1AM1o0mKbgAK5oMpY8B3Z7,https://api.spotify.com/v1/tracks/1AM1o0mKbgAK5oMpY8B3Z7,https://api.spotify.com/v1/audio-analysis/1AM1o0mKbgAK5oMpY8B3Z7,250173,4,rnb,Angel of Mine,Monica
0.674,0.274,0.0,0.7387361029842013,1,0.0307,0.385,0.00207,0.0763,0.806,0.5299486314798839,audio_features,5Kt4ixCSj65MTblSckJ10V,spotify:track:5Kt4ixCSj65MTblSckJ10V,https://api.spotify.com/v1/tracks/5Kt4ixCSj65MTblSckJ10V,https://api.spotify.com/v1/audio-analysis/5Kt4ixCSj65MTblSckJ10V,134394,4,country,Hello Walls,Faron Young
